icd_code,long_title
0HR0XJ3,"Replacement of Scalp Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR0XJ4,"Replacement of Scalp Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR0XJZ,"Replacement of Scalp Skin with Synthetic Substitute, External Approach"
0HR0XK3,"Replacement of Scalp Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR0XK4,"Replacement of Scalp Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR1X72,"Replacement of Face Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR1X73,"Replacement of Face Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR1X74,"Replacement of Face Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR1XJ3,"Replacement of Face Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR1XJ4,"Replacement of Face Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR1XJZ,"Replacement of Face Skin with Synthetic Substitute, External Approach"
0HR1XK3,"Replacement of Face Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR1XK4,"Replacement of Face Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR2X72,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR2X73,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR2X74,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR2XJ3,"Replacement of Right Ear Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR2XJ4,"Replacement of Right Ear Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR2XJZ,"Replacement of Right Ear Skin with Synthetic Substitute, External Approach"
0HR2XK3,"Replacement of Right Ear Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR2XK4,"Replacement of Right Ear Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR3X72,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR3X73,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR3X74,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR3XJ3,"Replacement of Left Ear Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR3XJ4,"Replacement of Left Ear Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR3XJZ,"Replacement of Left Ear Skin with Synthetic Substitute, External Approach"
0HR3XK3,"Replacement of Left Ear Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR3XK4,"Replacement of Left Ear Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR4X72,"Replacement of Neck Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR4X73,"Replacement of Neck Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR4X74,"Replacement of Neck Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR4XJ3,"Replacement of Neck Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR4XJ4,"Replacement of Neck Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR4XJZ,"Replacement of Neck Skin with Synthetic Substitute, External Approach"
0HR4XK3,"Replacement of Neck Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR4XK4,"Replacement of Neck Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR5X72,"Replacement of Chest Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR5X73,"Replacement of Chest Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR5X74,"Replacement of Chest Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR5XJ3,"Replacement of Chest Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR5XJ4,"Replacement of Chest Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR5XJZ,"Replacement of Chest Skin with Synthetic Substitute, External Approach"
0HR5XK3,"Replacement of Chest Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR5XK4,"Replacement of Chest Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR6X72,"Replacement of Back Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR6X73,"Replacement of Back Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR6X74,"Replacement of Back Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR6XJ3,"Replacement of Back Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR6XJ4,"Replacement of Back Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR6XJZ,"Replacement of Back Skin with Synthetic Substitute, External Approach"
0HR6XK3,"Replacement of Back Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR6XK4,"Replacement of Back Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR7X72,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR7X73,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR7X74,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR7XJ3,"Replacement of Abdomen Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR7XJ4,"Replacement of Abdomen Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR7XJZ,"Replacement of Abdomen Skin with Synthetic Substitute, External Approach"
0HR7XK3,"Replacement of Abdomen Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR7XK4,"Replacement of Abdomen Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR8X72,"Replacement of Buttock Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR8X73,"Replacement of Buttock Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR8X74,"Replacement of Buttock Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR8XJ3,"Replacement of Buttock Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR8XJ4,"Replacement of Buttock Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR8XJZ,"Replacement of Buttock Skin with Synthetic Substitute, External Approach"
0HR8XK3,"Replacement of Buttock Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR8XK4,"Replacement of Buttock Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR9X72,"Replacement of Perineum Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR9X73,"Replacement of Perineum Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR9X74,"Replacement of Perineum Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR9XJ3,"Replacement of Perineum Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR9XJ4,"Replacement of Perineum Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR9XJZ,"Replacement of Perineum Skin with Synthetic Substitute, External Approach"
0HR9XK3,"Replacement of Perineum Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR9XK4,"Replacement of Perineum Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRAX72,"Replacement of Inguinal Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
